요양기관명,소재지,요양종별,X좌표,Y좌표
서울다나의원,"서울특별시 은평구 연서로 30, 2층 (역촌동)",의원,948470.0,1955976.0
서울다혜의원,"서울특별시 종로구 종로 253, 2층 (종로5가)",의원,956376.0,1952551.0
서울대방내과의원,"서울특별시 동작구 등용로 115, 2층 201호 (대방동, 엘리시아빌딩)",의원,949781.0,1945947.0
서울드림이비인후과의원,"서울특별시 송파구 송파대로 570, 2층 (신천동, 타워730)",의원,964572.0,1946353.0
서울드림정형외과의원,"서울특별시 구로구 고척로 239, 힘찬테크 4층 (고척동)",의원,943398.0,1945462.0
서울라파의원,서울특별시 광진구 광나루로 534 (구의동),의원,963666.0,1949556.0
서울류마내과의원,"서울특별시 용산구 한강대로 109, 301호 (한강로2가, 용성비즈텔)",의원,953010.0,1947988.0
서울린소아청소년과의원,"서울특별시 동대문구 답십리로 267, 3~5층 (장안동)",의원,962036.0,1952681.0
서울맥마취통증의학과의원,"서울특별시 노원구 노해로 480, 조광빌딩 6층 (상계동)",의원,961314.0,1961722.0
서울메디안의원,"서울특별시 강동구 성안로 156, 3층 (길동)",의원,967791.0,1948680.0
서울메디칼연합의원,"서울특별시 중랑구 신내역로 165, 2층 (신내동)",의원,965478.0,1957404.0
서울메디탑내과의원,"서울특별시 양천구 오목로 147, 3층 (신정동, 제이클래스목동주상복합)",의원,942886.0,1947496.0
서울메디투어의원,"서울특별시 동대문구 장한로 10, 조광빌딩 (장안동)",의원,961626.0,1951533.0
서울메디피아의원,"서울특별시 금천구 가산디지털1로 149, 201,202호 (가산동, 이노플렉스2차)",의원,945301.0,1942338.0
서울미래정형외과의원,"서울특별시 성북구 종암로21길 3, 용진빌딩 4,5층 401,402,501,502호 (종암동)",의원,958877.0,1955592.0
서울박내과의원,"서울특별시 강남구 남부순환로397길 57, 4,5,6층 (대치동, 대치메디칼센터)",의원,960954.0,1943846.0
서울박현경내과의원,"서울특별시 송파구 가락로 111, 영보빌딩 2층 201호 (석촌동)",의원,965381.0,1944771.0
서울방사선가정의학과의원,서울특별시 은평구 통일로 863 (갈현동),의원,948815.0,1958000.0
서울배내과의원,"서울특별시 강남구 논현로 509, 송암II빌딩 2,4층 (역삼동)",의원,958997.0,1944842.0
서울베스트의원,"서울특별시 강남구 자곡로3길 21 (자곡동, LH강남힐스테이트상가 B201호)",의원,963627.0,1941416.0
서울베스트정형외과의원,"서울특별시 동대문구 이문로 88, 4층 401,402호 (이문동, 민족통일 대통령 빌딩)",의원,961099.0,1955119.0
서울본내과의원,"서울특별시 마포구 양화로 133, 서교타워 3,5,18층 (서교동)",의원,948857.0,1950813.0
서울봄연합의원,"서울특별시 강북구 삼양로 579, 화성빌딩 3,4층 (우이동)",의원,957019.0,1961800.0
서울비뇨기과의원,"서울특별시 관악구 남부순환로 1832-0, 8층 (봉천동, 삼한빌딩)",의원,951682.0,1942525.0
서울삼성내과의원,"서울특별시 용산구 이촌로 206, 국민은행 3~4층 (이촌동)",의원,953153.0,1946976.0
서울삼성내과의원,"서울특별시 은평구 서오릉로 203, 2층 (구산동)",의원,948006.0,1957314.0
서울삼성내과의원,"서울특별시 광진구 자양로 95, 4층 (자양동)",의원,963177.0,1948626.0
서울삼성내과의원,"서울특별시 강서구 양천로 713, 2층 (염창동, 대영빌딩)",의원,944815.0,1950239.0
서울삼성내과의원,"서울특별시 송파구 백제고분로 126, 오룡빌딩 2층3층4층5층 (잠실동)",의원,962945.0,1945293.0
서울삼성내과의원,"서울특별시 관악구 양녕로 50, 8층 (봉천동, 금강빌딩)",의원,951130.0,1943167.0
