"시점",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (mm),상대습도 (%),상대습도 (%),평균운량 (10%),일조시간 (hr),바람 (m/s),바람 (m/s),바람 (m/s)
"시점",평균,평균최고,극점최고,평균최저,극점최저,소계,평균,최소,소계,소계,평균풍속,최대풍속,최대순간풍속
"1997. 05",17.0,21.5,27.9,12.9,8.8,291.3,66.0,17.0,6.3,173.4,2.5,9.3,17.5
"1997. 06",23.4,28.5,35.0,18.9,12.4,110.0,65.0,25.0,4.8,227.8,2.1,8.8,20.1
"1997. 07",26.1,30.1,36.1,22.8,18.1,299.6,80.0,27.0,5.8,168.4,1.9,7.3,13.3
"1997. 08",26.8,31.3,34.1,23.2,19.6,117.2,71.0,37.0,4.9,206.0,2.2,12.3,18.2
"1997. 09",20.2,25.4,31.9,15.7,10.3,76.9,63.0,22.0,3.9,203.2,2.0,9.0,17.0
"1997. 10",13.4,19.0,26.3,8.2,-2.0,45.5,55.0,10.0,2.4,237.6,2.4,10.0,15.0
"1997. 11",8.8,13.7,20.2,4.6,-3.2,93.8,61.0,17.0,4.0,166.6,2.0,9.0,14.0
"1997. 12",1.8,5.7,12.8,-1.8,-11.3,38.1,59.0,20.0,4.2,145.0,2.1,7.7,14.6
"1998. 01",-1.3,2.8,8.2,-4.7,-15.4,10.4,59.0,20.0,4.0,161.0,2.4,9.7,16.4
"1998. 02",3.4,7.8,15.0,-0.6,-7.7,32.3,59.0,16.0,4.1,151.3,2.4,9.0,16.5
"1998. 03",7.3,12.5,19.1,2.8,-3.2,45.1,58.0,13.0,3.6,220.9,2.8,9.7,16.9
"1998. 04",15.6,20.9,26.3,11.1,1.9,120.2,65.0,14.0,5.5,164.6,2.2,16.0,20.9
"1998. 05",19.0,24.3,31.4,14.0,10.4,121.5,59.0,17.0,5.1,214.8,2.2,9.0,16.3
"1998. 06",21.9,26.4,31.8,18.0,13.2,234.1,67.0,28.0,6.3,163.7,2.1,8.0,12.5
"1998. 07",24.9,28.6,32.2,21.9,19.5,311.8,74.0,32.0,7.0,137.2,2.5,9.0,17.4
"1998. 08",25.0,28.8,32.0,22.1,17.4,1237.8,78.0,41.0,7.5,114.1,2.0,10.0,20.0
"1998. 09",23.0,27.8,32.8,19.0,15.4,177.9,70.0,30.0,5.0,197.3,1.8,8.0,14.5
"1998. 10",17.0,22.0,26.5,12.7,4.9,27.4,67.0,29.0,4.7,202.2,1.9,9.7,14.9
"1998. 11",7.3,12.2,20.5,3.3,-6.8,26.9,61.0,20.0,3.5,167.5,2.2,10.0,14.2
"1998. 12",2.3,6.6,12.9,-1.7,-8.1,3.7,59.0,16.0,2.8,185.6,2.2,10.7,15.0
"1999. 01",-0.8,3.5,12.4,-4.7,-12.2,10.2,58.0,21.0,3.0,184.1,2.6,10.0,13.5
"1999. 02",0.7,5.0,10.2,-3.1,-12.3,2.9,60.0,16.0,4.0,159.1,2.8,10.0,17.3
"1999. 03",6.7,11.7,18.8,1.6,-6.2,55.0,50.0,11.0,4.9,197.7,2.5,8.3,16.3
"1999. 04",13.9,19.3,28.2,8.7,1.6,97.2,59.0,11.0,4.4,228.1,2.6,9.7,15.2
"1999. 05",17.5,22.7,28.1,12.4,10.2,109.7,65.0,21.0,4.2,235.1,2.2,8.7,16.3
"1999. 06",23.1,28.3,33.6,18.5,15.8,131.8,67.0,28.0,5.2,217.5,1.8,8.3,12.1
"1999. 07",25.9,30.0,34.9,22.3,18.2,230.4,73.0,37.0,7.5,130.4,2.1,9.7,17.0
"1999. 08",26.0,30.2,35.4,22.3,19.5,600.5,74.0,36.0,6.4,161.4,1.2,11.3,23.9
"1999. 09",22.9,27.0,32.0,19.4,12.8,377.3,76.0,28.0,6.7,119.9,1.3,6.0,12.9
"1999. 10",14.3,19.1,24.0,10.0,1.5,81.6,71.0,24.0,4.9,162.4,1.1,8.0,14.0
